Prompt_Version,Industry,JD_Region,JD_framing,Seniority_level,CV_framing,Model_Origin,Metric,Normality_p_value,Levene_p_value,Assumptions_Passed
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Communal,USA,Performance_Score,4.4017198651534915e-11,0.0027587302732643582,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Communal,USA,Leadership_Avg,1.7832852553163657e-10,0.0020718829082088815,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Communal,USA,Status_Score,7.766376725845942e-12,0.06576761833323001,False
region,Procurement / Sourcing / Supply Chain,Europe,Balanced,Senior-Level,Communal,USA,Warmth_Score,1.7832852553163528e-10,9.908092006227147e-08,False
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Agentic,China,Hireability_Score,2.1069463203704973e-07,0.27023321361992997,False
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Agentic,China,Competence_Score,4.4017198651534915e-11,0.00026564978872657707,False
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Agentic,China,Fit_Score,8.191885796000465e-07,0.17175217649702323,False
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Agentic,China,Performance_Score,1.1502053382187131e-07,0.01051747914275012,False
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Agentic,China,Leadership_Avg,7.766376725845856e-12,0.0008405122832485329,False
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Agentic,China,Status_Score,2.0942965174732514e-08,0.08992108486283816,False
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Agentic,China,Warmth_Score,7.766376725845856e-12,2.3023442068278096e-06,False
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Agentic,USA,Hireability_Score,1.6643906775360467e-08,0.28446575833655025,False
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Agentic,USA,Competence_Score,0.0,9.054923092201242e-11,False
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Agentic,USA,Fit_Score,0.0,2.2678164407140734e-07,False
region,Procurement / Sourcing / Supply Chain,Europe,Neutral,Entry-Level,Agentic,USA,Performance_Score,0.0,2.103089792824722e-05,False
